Date,Transaction Description,Category,Amount,Type
05-07-2023,Begin voice prevent structure wear.,Investment,2078,Income
05-07-2023,Beat painting heavy.,Other,1141,Income
06-07-2023,To receive education.,Shopping,411.82,Expense
07-07-2023,Police two.,Utilities,1669.88,Expense
07-07-2023,Realize property show either.,Rent,183.18,Expense
10-07-2023,Since him four.,Health & Fitness,1714.68,Expense
10-07-2023,Western enough key.,Food & Drink,1575.24,Expense
10-07-2023,Particular condition man.,Shopping,233.91,Expense
10-07-2023,Shoulder despite poor tree resource.,Investment,1365,Income
11-07-2023,Authority number.,Rent,1573.63,Expense
13-07-2023,Affect marriage present a.,Health & Fitness,1757.01,Expense
15-07-2023,Entire record toward off.,Salary,1148.33,Expense
15-07-2023,Long identify road speech.,Utilities,558.07,Expense
15-07-2023,Difficult his ready sister building.,Other,817,Income
15-07-2023,Four field area young.,Health & Fitness,1384.12,Expense
15-07-2023,Movement which ball least.,Other,2700,Income
16-07-2023,Computer always his.,Food & Drink,682.35,Expense
17-07-2023,Receive to piece.,Travel,567.89,Expense
18-07-2023,Be plan same cause.,Rent,1945.27,Expense
19-07-2023,Rest or.,Travel,1948.7,Expense
19-07-2023,As music film move.,Health & Fitness,546.15,Expense
20-07-2023,Already argue.,Rent,383.99,Expense
21-07-2023,Brother southern project learn.,Shopping,1484.48,Expense
23-07-2023,Scientist do author.,Health & Fitness,1643.82,Expense
25-07-2023,President likely truth animal.,Utilities,140.58,Expense
26-07-2023,Common anyone.,Shopping,279.94,Expense
27-07-2023,Lay color.,Food & Drink,355.74,Expense
27-07-2023,Box organization.,Entertainment,1675.58,Expense
30-07-2023,Source international.,Salary,110.61,Expense
01-08-2023,Building range national focus.,Entertainment,555.22,Expense
04-08-2023,Or friend.,Shopping,1274.47,Expense
05-08-2023,Center indeed recent.,Investment,2481,Income
07-08-2023,Just understand american.,Salary,363.39,Expense
07-08-2023,Partner sing administration main according.,Health & Fitness,695.06,Expense
09-08-2023,Religious order.,Travel,1500.43,Expense
09-08-2023,Really society live camera.,Travel,64.63,Expense
10-08-2023,Mission include visit.,Investment,2313,Income
10-08-2023,Conference matter wear physical site.,Entertainment,545.48,Expense
11-08-2023,Above dog brother morning.,Food & Drink,1730.61,Expense
16-08-2023,Gun seven music despite show.,Food & Drink,953.45,Expense
17-08-2023,Apply both chance.,Investment,569,Income
17-08-2023,Computer prove amount population.,Travel,1428.35,Expense
21-08-2023,Itself free source.,Travel,853.38,Expense
22-08-2023,Bit appear.,Health & Fitness,923.41,Expense
23-08-2023,Citizen ahead method.,Travel,1357.62,Expense
25-08-2023,Return or for.,Shopping,1173.13,Expense
27-08-2023,Discover body direction down.,Other,2815,Income
30-08-2023,Heart determine likely.,Rent,968.66,Expense
30-08-2023,Three certain.,Travel,1284.78,Expense
30-08-2023,Hold carry rest.,Travel,1315.68,Expense
30-08-2023,Dark camera realize.,Travel,384.84,Expense
01-09-2023,Carry surface learn.,Entertainment,1800.38,Expense
01-09-2023,Detail far church some.,Shopping,1324.46,Expense
03-09-2023,Wife talk beat tax majority.,Food & Drink,1314.25,Expense
04-09-2023,List leg address into their.,Travel,1814.75,Expense
04-09-2023,Its develop until watch.,Food & Drink,1170.22,Expense
04-09-2023,Individual analysis.,Entertainment,692.9,Expense
07-09-2023,Almost most look something.,Salary,1813.99,Expense
10-09-2023,Manager bar send really.,Travel,1692.38,Expense
11-09-2023,Car fast positive.,Utilities,594.63,Expense
11-09-2023,Look fight.,Travel,1453.12,Expense
12-09-2023,Section agency lawyer sign them.,Utilities,1894.38,Expense
12-09-2023,Smile have less.,Rent,452.28,Expense
13-09-2023,Audience throw four allow international.,Travel,846.74,Expense
14-09-2023,My some skin ball thing.,Health & Fitness,528.51,Expense
14-09-2023,War push thousand book half.,Rent,946.37,Expense
14-09-2023,Hand possible relate night.,Rent,949.72,Expense
15-09-2023,Wonder draw box.,Investment,3626,Income
15-09-2023,That reflect send set fly.,Shopping,117.58,Expense
16-09-2023,Quite everyone as generation.,Utilities,1984.77,Expense
16-09-2023,Money but report question.,Salary,295.02,Expense
21-09-2023,Later happy pull.,Utilities,1560.09,Expense
21-09-2023,Throughout leader bag.,Utilities,633.69,Expense
23-09-2023,When baby clearly.,Other,2740,Income
24-09-2023,Many themselves minute.,Utilities,1156.8,Expense
28-09-2023,Indicate radio use.,Investment,1560,Income
29-09-2023,Information scene again country.,Shopping,812.75,Expense
03-10-2023,Strong mind from.,Shopping,19.29,Expense
04-10-2023,Pretty skin main program.,Health & Fitness,1900.64,Expense
04-10-2023,Knowledge fight car smile commercial.,Entertainment,45.65,Expense
05-10-2023,Machine wife show.,Investment,2353,Income
06-10-2023,Good lay coach.,Health & Fitness,631.06,Expense
08-10-2023,Expect win stuff realize project.,Other,1868,Income
08-10-2023,Draw american first.,Investment,2942,Income
08-10-2023,Employee continue none alone.,Salary,1458.39,Expense
09-10-2023,Challenge large wish move.,Health & Fitness,872.99,Expense
09-10-2023,Identify material.,Utilities,692.04,Expense
11-10-2023,Until choose wife national.,Health & Fitness,1502.73,Expense
13-10-2023,Positive far time wide.,Other,656,Income
14-10-2023,Son rock two.,Utilities,430.27,Expense
14-10-2023,Rule too.,Investment,1508,Income
15-10-2023,Bring agent pay detail group.,Food & Drink,756.63,Expense
15-10-2023,Part crime.,Food & Drink,1191.91,Expense
16-10-2023,Sit short cultural.,Investment,661,Income
17-10-2023,Support quality whatever wish hour.,Investment,3914,Income
17-10-2023,Owner memory argue project.,Rent,1099.09,Expense
27-10-2023,Respond into history.,Utilities,418.93,Expense
27-10-2023,General final knowledge.,Food & Drink,609.22,Expense
29-10-2023,Democratic thousand.,Travel,1249.37,Expense
30-10-2023,Eye south wife interest.,Shopping,1663,Expense
30-10-2023,Structure our century.,Investment,2815,Income
04-11-2023,Write moment friend value.,Investment,4577,Income
05-11-2023,According police.,Investment,2654,Income
08-11-2023,Company left nothing trip.,Entertainment,722.26,Expense
08-11-2023,Strategy face make.,Utilities,88.42,Expense
08-11-2023,Fight nice less agree able.,Entertainment,1379.53,Expense
09-11-2023,What strong line.,Entertainment,15.45,Expense
09-11-2023,Conference trade population agreement.,Rent,1672.11,Expense
11-11-2023,Yes at seat ok.,Utilities,1899.4,Expense
11-11-2023,Than physical live reason.,Rent,1449.89,Expense
13-11-2023,Mention offer suddenly clear.,Other,2393,Income
14-11-2023,Floor there career.,Travel,535.61,Expense
14-11-2023,Evening information.,Investment,823,Income
15-11-2023,Face morning.,Health & Fitness,1605.18,Expense
17-11-2023,Create physical share out cold.,Rent,199.05,Expense
18-11-2023,Step rate feeling rate.,Food & Drink,29.25,Expense
21-11-2023,Move goal.,Investment,3192,Income
21-11-2023,Carry example.,Salary,1910.63,Expense
22-11-2023,Future treat bill choice.,Rent,751.52,Expense
23-11-2023,Somebody next ready.,Rent,807.55,Expense
23-11-2023,Republican reduce sort individual trouble.,Travel,1673.06,Expense
26-11-2023,Type look find.,Salary,1601.8,Expense
26-11-2023,Stage threat our.,Utilities,234.98,Expense
26-11-2023,Report agreement sport.,Food & Drink,1963.32,Expense
26-11-2023,Task central dinner.,Rent,837.9,Expense
27-11-2023,Candidate bad real.,Salary,370.71,Expense
27-11-2023,Affect machine.,Health & Fitness,1226.6,Expense
28-11-2023,Cultural allow.,Utilities,971.33,Expense
28-11-2023,Arrive budget education at property.,Shopping,886.97,Expense
29-11-2023,Turn day top.,Other,601,Income
05-12-2023,Ahead certainly second everyone.,Entertainment,1956.01,Expense
05-12-2023,Goal talk sit party.,Health & Fitness,1043.01,Expense
06-12-2023,Attention standard shake more respond.,Rent,871.37,Expense
08-12-2023,Top mr wind.,Salary,698.04,Expense
09-12-2023,Turn surface listen.,Shopping,305.82,Expense
09-12-2023,Pull blue strong wonder.,Food & Drink,33.17,Expense
10-12-2023,Method imagine seven.,Salary,1705.22,Expense
11-12-2023,Letter mind many.,Rent,1505.35,Expense
13-12-2023,News american foreign.,Health & Fitness,1940.59,Expense
14-12-2023,Exist outside find wish.,Investment,3601,Income
14-12-2023,Network fact talk.,Entertainment,166.87,Expense
18-12-2023,Thus sort.,Salary,185.16,Expense
20-12-2023,Actually purpose public.,Health & Fitness,246.23,Expense
21-12-2023,Mission put budget house.,Food & Drink,214.26,Expense
22-12-2023,Ask window full.,Food & Drink,1653.56,Expense
23-12-2023,Do interesting material.,Travel,1781.32,Expense
25-12-2023,Event smile popular hundred live.,Salary,1901.21,Expense
26-12-2023,Memory challenge lawyer business.,Food & Drink,1635.01,Expense
27-12-2023,Discuss wall ahead scene.,Health & Fitness,1124.7,Expense
29-12-2023,Question will him quickly.,Salary,1436.15,Expense
29-12-2023,Perform benefit baby.,Salary,236.91,Expense
29-12-2023,Society dark product make.,Entertainment,14.37,Expense
